id,uniquenessIndex,name,backgroundId,skullGene,hairGene,eyesGene,noseGene,teethGene,bonesGene,beardGene,skills,rank,gameToken,intelligence,strength,dexterity,stamina,accuracy,speed,fireLord,regenerationLord,iceLord,poisonLord,lightningLord,archmage,immortal
0,26,Culmatrak,15,0,122,22,2,2,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,2,12,2,4,6,4,False,False,False,False,False,False,False
1,22,Hontaalthohr,124,0,93,45,2,5,15,8,['FAST_KICK'],0,False,2,13,1,11,3,11,False,False,False,False,False,False,False
2,22,Thosurdarm,60,10,98,9,5,0,15,8,['FAST_KICK'],0,False,12,12,1,10,2,4,False,False,False,False,False,False,False
3,12,Healnoul,22,5,1,73,7,1,9,8,['REGENERATION_LORD'],0,False,10,10,1,2,2,16,False,True,False,False,False,False,False
4,22,Rauhri,14,8,7,88,6,5,15,8,['FAST_KICK'],0,False,2,12,7,9,6,4,False,False,False,False,False,False,False
5,22,Sechiuh,79,1,13,42,6,8,15,8,['FAST_KICK'],0,False,4,12,2,10,6,6,False,False,False,False,False,False,False
6,22,Thiummouhal,6,10,52,13,6,8,15,8,['FAST_KICK'],0,False,9,8,3,10,5,5,False,False,False,False,False,False,False
7,12,Khardec,34,6,75,5,6,4,5,8,['FIRE_LORD'],0,False,9,11,3,5,6,6,True,False,False,False,False,False,False
8,16,Krizutrohr,69,3,122,2,2,5,11,8,"['IRON_FISTS', 'REGENERATION_LORD']",0,False,18,4,1,1,4,4,False,True,False,False,False,False,False
9,1,Terminator,120,12,76,25,0,10,7,5,"['IMMORTALITY', 'ARCHMAGE', 'POISON_LORD']",0,False,4,7,5,18,1,6,False,False,False,True,False,True,True
10,15,Bhaophristhel,63,1,122,2,1,9,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,14,2,1,1,4,10,False,False,False,False,False,True,False
11,16,Biblimahr,58,8,122,88,4,8,12,8,"['ICE_LORD', 'IRON_FISTS']",0,False,6,7,5,8,1,4,False,False,True,False,False,False,False
12,25,Broneac,44,12,122,66,7,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,6,1,7,6,1,False,False,False,False,False,False,False
13,22,Heachol,24,5,52,1,5,4,15,8,['FAST_KICK'],0,False,20,5,1,1,4,10,False,False,False,False,False,False,False
14,22,Erdurr,66,9,10,31,6,6,15,8,['FAST_KICK'],0,False,9,2,10,15,2,2,False,False,False,False,False,False,False
15,25,Roidhaodoih,96,13,122,11,6,1,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,3,3,9,7,5,3,False,False,False,False,False,False,False
16,22,Friudu,61,8,76,54,7,3,15,8,['FAST_KICK'],0,False,7,4,8,13,1,8,False,False,False,False,False,False,False
17,25,Vudax,42,2,122,79,6,7,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,18,6,1,2,2,2,False,False,False,False,False,False,False
