id,uniquenessIndex,name,backgroundId,skullGene,hairGene,eyesGene,noseGene,teethGene,bonesGene,beardGene,skills,rank,gameToken,intelligence,strength,dexterity,stamina,accuracy,speed,fireLord,regenerationLord,iceLord,poisonLord,lightningLord,archmage,immortal,hairGroup,eyesGroup,beardGroup,backgroundColor,skullColor,bonesColor,beardColor,eyesColor,hairColor,base_count,color_count,fastKick,ironFists,skill_count,match_code,match_desc
0,26,Culmatrak,15,0,122,22,2,2,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,2,12,2,4,6,4,False,False,False,False,False,False,False,9,4,2,#ffa8a8,#f44336,,,#00bcd4,,5,3,True,True,2,0,
1,22,Hontaalthohr,124,0,93,45,2,5,15,8,['FAST_KICK'],0,False,2,13,1,11,3,11,False,False,False,False,False,False,False,7,5,2,#ffd8a8,#f44336,,,#e91e63,#263238,6,3,True,False,1,0,
2,22,Thosurdarm,60,10,98,9,5,0,15,8,['FAST_KICK'],0,False,12,12,1,10,2,4,False,False,False,False,False,False,False,7,3,2,#3b5bdb,#ff9800,,,#f44336,#2196f3,6,4,True,False,1,0,
3,12,Healnoul,22,5,1,73,7,1,9,8,['REGENERATION_LORD'],0,False,10,10,1,2,2,16,False,True,False,False,False,False,False,1,6,2,#fff0f6,#03a9f4,#e91e63,,#f44336,#e91e63,7,4,False,False,1,1,bones=hair
4,22,Rauhri,14,8,7,88,6,5,15,8,['FAST_KICK'],0,False,2,12,7,9,6,4,False,False,False,False,False,False,False,1,7,2,#ffc9c9,#cddc39,,,#f44336,#00bcd4,6,4,True,False,1,0,
5,22,Sechiuh,79,1,13,42,6,8,15,8,['FAST_KICK'],0,False,4,12,2,10,6,6,False,False,False,False,False,False,False,1,2,2,#1098ad,#e91e63,,,#ff9800,#ff9800,6,3,True,False,1,1,eyes=hair
6,22,Thiummouhal,6,10,52,13,6,8,15,8,['FAST_KICK'],0,False,9,8,3,10,5,5,False,False,False,False,False,False,False,0,4,2,#ced4da,#ff9800,,,#263238,#2196f3,6,3,True,False,1,0,
7,12,Khardec,34,6,75,5,6,4,5,8,['FIRE_LORD'],0,False,9,11,3,5,6,6,True,False,False,False,False,False,False,5,3,2,#eebefa,#009688,#ff5722,,#ffcdd2,#ff5722,7,4,False,False,1,1,bones=hair
8,16,Krizutrohr,69,3,122,2,2,5,11,8,"['IRON_FISTS', 'REGENERATION_LORD']",0,False,18,4,1,1,4,4,False,True,False,False,False,False,False,9,3,2,#1c7ed6,#673ab7,#673ab7,,#2196f3,,6,3,False,True,2,1,skull=bones
9,1,Terminator,120,12,76,25,0,10,7,5,"['IMMORTALITY', 'ARCHMAGE', 'POISON_LORD']",0,False,4,7,5,18,1,6,False,False,False,True,False,True,True,5,4,1,#f08c00,#795548,#000000,#37474f,#ffeb3b,#ffcdd2,8,6,False,False,3,1337,
10,15,Bhaophristhel,63,1,122,2,1,9,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,14,2,1,1,4,10,False,False,False,False,False,True,False,9,3,1,#d0ebff,#e91e63,,#455a64,#2196f3,,6,4,True,False,2,0,
11,16,Biblimahr,58,8,122,88,4,8,12,8,"['ICE_LORD', 'IRON_FISTS']",0,False,6,7,5,8,1,4,False,False,True,False,False,False,False,9,7,2,#4c6ef5,#cddc39,#3f51b5,,#f44336,,6,4,False,True,2,0,
12,25,Broneac,44,12,122,66,7,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,6,1,7,6,1,False,False,False,False,False,False,False,9,6,2,#d0bfff,#795548,,,#009688,,5,3,True,True,2,0,
13,22,Heachol,24,5,52,1,5,4,15,8,['FAST_KICK'],0,False,20,5,1,1,4,10,False,False,False,False,False,False,False,0,3,2,#fcc2d7,#03a9f4,,,#9c27b0,#2196f3,6,4,True,False,1,0,
14,22,Erdurr,66,9,10,31,6,6,15,8,['FAST_KICK'],0,False,9,2,10,15,2,2,False,False,False,False,False,False,False,1,2,2,#4dabf7,#ffeb3b,,,#ffffff,#cddc39,6,4,True,False,1,0,
15,25,Roidhaodoih,96,13,122,11,6,1,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,3,3,9,7,5,3,False,False,False,False,False,False,False,9,0,2,#69db7c,#607d8b,,,,,5,2,True,True,2,0,
16,22,Friudu,61,8,76,54,7,3,15,8,['FAST_KICK'],0,False,7,4,8,13,1,8,False,False,False,False,False,False,False,5,5,2,#364fc7,#cddc39,,,#ffeb3b,#ffcdd2,6,4,True,False,1,0,
17,25,Vudax,42,2,122,79,6,7,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,18,6,1,2,2,2,False,False,False,False,False,False,False,9,7,2,#f3f0ff,#9c27b0,,,#2196f3,,5,3,True,True,2,0,
18,13,Pheabhaal,76,2,36,80,2,2,5,8,['FIRE_LORD'],0,False,16,4,4,2,12,2,True,False,False,False,False,False,False,4,7,2,#3bc9db,#9c27b0,#ff5722,,#00bcd4,#3f51b5,7,5,False,False,1,0,
19,1,Thor,108,5,55,79,0,3,9,8,"['IMMORTALITY', 'REGENERATION_LORD']",0,False,12,1,11,7,6,4,False,True,False,False,False,False,True,0,7,2,#82c91e,#03a9f4,#e91e63,,#2196f3,#4caf50,7,5,False,False,2,1337,
20,1,Catrina,9,8,61,77,7,5,8,8,"['FIRE_LORD', 'IMMORTALITY']",0,False,11,9,8,6,1,6,True,False,False,False,False,False,True,0,7,2,#495057,#cddc39,#f44336,,#673ab7,#e91e63,7,5,False,False,2,1337,
21,22,Gozzucun,70,14,92,25,4,2,15,8,['FAST_KICK'],0,False,9,8,5,12,2,4,False,False,False,False,False,False,False,6,4,2,#1971c2,#ffffff,,,#ffeb3b,#f44336,6,4,True,False,1,0,
22,22,Sthraothruz,50,2,121,17,3,3,15,8,['FAST_KICK'],0,False,12,12,1,8,3,5,False,False,False,False,False,False,False,8,0,2,#6741d9,#9c27b0,,,,#f44336,6,3,True,False,1,0,
23,25,Naddigrouk,108,3,122,22,6,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,4,7,5,6,1,False,False,False,False,False,False,False,9,4,2,#82c91e,#673ab7,,,#00bcd4,,5,3,True,True,2,0,
24,1,Don Salvador,41,13,89,63,1,10,12,8,"['IMMORTALITY', 'ICE_LORD']",0,False,15,13,3,7,1,2,False,False,True,False,False,False,True,6,6,2,#862e9c,#607d8b,#3f51b5,,#3f51b5,#ffc107,7,4,False,False,2,1337,
25,11,Sthrekas,38,8,21,88,3,4,15,0,"['ARCHMAGE', 'FAST_KICK']",0,False,12,10,5,7,2,4,False,False,False,False,False,True,False,2,7,0,#be4bdb,#cddc39,,#37474f,#f44336,#2196f3,7,5,True,False,2,0,
26,22,Dundos,91,9,70,44,7,1,15,8,['FAST_KICK'],0,False,5,4,7,12,12,1,False,False,False,False,False,False,False,5,5,2,#087f5b,#ffeb3b,,,#ffffff,#009688,6,4,True,False,1,0,
27,1,Morpheo,61,1,122,70,3,8,12,5,"['IMMORTALITY', 'ARCHMAGE', 'ICE_LORD']",0,False,8,8,1,6,1,8,False,False,True,False,False,True,True,9,6,1,#364fc7,#e91e63,#3f51b5,#37474f,#ffc107,,7,5,False,False,3,1337,
28,11,Joltoth,74,7,24,5,1,8,15,7,"['ARCHMAGE', 'FAST_KICK']",0,False,4,2,10,4,14,6,False,False,False,False,False,True,False,2,3,0,#99e9f2,#4caf50,,#455a64,#ffcdd2,#009688,7,5,True,False,2,0,
29,22,Luurlixaa,33,4,6,34,0,5,15,8,['FAST_KICK'],0,False,24,8,1,2,2,4,False,False,False,False,False,False,False,1,2,2,#f3d9fa,#3f51b5,,,#9c27b0,#03a9f4,6,4,True,False,1,0,
30,25,Sthauheashius,119,7,122,23,5,9,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,1,2,14,10,4,1,False,False,False,False,False,False,False,9,4,2,#f59f00,#4caf50,,,#4caf50,,5,2,True,True,2,1,skull=eyes
31,25,Sthrubiszen,6,1,122,50,7,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,7,5,5,1,6,6,False,False,False,False,False,False,False,9,5,2,#ced4da,#e91e63,,,#00bcd4,,5,3,True,True,2,0,
32,22,Thokarzhiorm,47,9,86,20,0,0,15,8,['FAST_KICK'],0,False,13,10,3,8,6,1,False,False,False,False,False,False,False,6,4,2,#845ef7,#ffeb3b,,,#673ab7,#009688,6,4,True,False,1,0,
