UNIQUENESS INDEX,NAME,Background ID,Skull Gene,Hair Gene,Eyes Gene,Nose Gene,Teeth Gene,Bones Gene,Beard Gene,token_id,feature
26,Culmatrak,#15,#0,#122,#22,#2,#2,#15,#8,0,
22,Hontaalthohr,#124,#0,#93,#45,#2,#5,#15,#8,1,
22,Thosurdarm,#60,#10,#98,#9,#5,#0,#15,#8,2,
12,Healnoul,#22,#5,#1,#73,#7,#1,#9,#8,3,
22,Rauhri,#14,#8,#7,#88,#6,#5,#15,#8,4,
22,Sechiuh,#79,#1,#13,#42,#6,#8,#15,#8,5,
22,Thiummouhal,#6,#10,#52,#13,#6,#8,#15,#8,6,
12,Khardec,#34,#6,#75,#5,#6,#4,#5,#8,7,
16,Krizutrohr,#69,#3,#122,#2,#2,#5,#11,#8,8,
1,Terminator,,,,,,,,,9,
15,Bhaophristhel,#63,#1,#122,#2,#1,#9,#15,#4,10,
16,Biblimahr,#58,#8,#122,#88,#4,#8,#12,#8,11,
25,Broneac,#44,#12,#122,#66,#7,#0,#15,#8,12,
22,Heachol,#24,#5,#52,#1,#5,#4,#15,#8,13,
22,Erdurr,#66,#9,#10,#31,#6,#6,#15,#8,14,
25,Roidhaodoih,#96,#13,#122,#11,#6,#1,#15,#8,15,
22,Friudu,#61,#8,#76,#54,#7,#3,#15,#8,16,
25,Vudax,#42,#2,#122,#79,#6,#7,#15,#8,17,
13,Pheabhaal,#76,#2,#36,#80,#2,#2,#5,#8,18,
1,Thor,,,,,,,,,19,
1,Catrina,,,,,,,,,20,
22,Gozzucun,#70,#14,#92,#25,#4,#2,#15,#8,21,
22,Sthraothruz,#50,#2,#121,#17,#3,#3,#15,#8,22,
25,Naddigrouk,#108,#3,#122,#22,#6,#5,#15,#8,23,
1,Don Salvador,,,,,,,,,24,
11,Sthrekas,#38,#8,#21,#88,#3,#4,#15,#0,25,
22,Dundos,#91,#9,#70,#44,#7,#1,#15,#8,26,
1,Morpheo,,,,,,,,,27,
11,Joltoth,#74,#7,#24,#5,#1,#8,#15,#7,28,
22,Luurlixaa,#33,#4,#6,#34,#0,#5,#15,#8,29,
25,Sthauheashius,#119,#7,#122,#23,#5,#9,#15,#8,30,
25,Sthrubiszen,#6,#1,#122,#50,#7,#0,#15,#8,31,
22,Thokarzhiorm,#47,#9,#86,#20,#0,#0,#15,#8,32,
22,Xeakne,#32,#3,#70,#52,#1,#3,#15,#8,33,
12,Sthrextrett,#6,#3,#25,#84,#3,#0,#1,#8,34,
25,Tabro,#46,#3,#122,#39,#3,#4,#15,#8,35,
1,Old Jack,,,,,,,,,36,
22,Stiulfauddiuz,#71,#5,#66,#33,#2,#3,#15,#8,37,
22,Blagramiuth,#70,#12,#86,#9,#1,#2,#15,#8,38,
22,Vregrorr,#114,#6,#11,#61,#7,#4,#15,#8,39,
26,Ghuulmaol,#28,#11,#122,#64,#2,#5,#15,#8,40,
1,Captain Flint,,,,,,,,,41,
1,Lilith,,,,,,,,,42,
1,Slayer,,,,,,,,,43,
22,Fruusziol,#25,#12,#81,#8,#0,#6,#15,#8,44,
22,Raophrouxxiuth,#130,#2,#93,#30,#6,#1,#15,#8,45,
12,Bossixak,#37,#4,#89,#41,#2,#6,#4,#8,46,
22,Aogriokioth,#113,#14,#37,#50,#4,#2,#15,#8,47,
22,Priaxxek,#129,#5,#41,#3,#0,#6,#15,#8,48,
22,Keahraomlou,#84,#12,#54,#11,#0,#7,#15,#8,49,
12,Dhourriadhuuth,#118,#3,#103,#50,#4,#8,#2,#8,50,
